report_id,date,site,location,report_type,description,activity,predicted_activity,predicted_equipment,predicted_hazards,predicted_barrier_failures,predicted_precursor_tags,predicted_potential_consequences,sif_prediction,sif_probability,predicted_lsr,primary_lsr_predicted,sif_label,primary_lsr,lsr_tags,hazard,barrier_failure,potential_consequence,precursor_tags,severity
REP-C9B7AF2B,2021-04-05,Site Alpha,Drilling Floor,Unsafe Act,Operator logged Process Operation for Pressure Safety Valve PSV-90 in the wrong logbook.,Process Operation,"[""Operations""]","[""Valve Psv-90"", ""Safety Valve""]",[],[],[],[],0,0.1587,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,0,Bypassing Safety Controls,Bypassing Safety Controls,,,Minor injury,,Low
REP-A449CF35,2020-05-25,Terminal Echo,Loading Bay,Near Miss,The entry log for Separator V-10 during Vessel Welding was smudged with dirt.,Vessel Welding,"[""Hot Work""]","[""Separator V-10"", ""Vessel Welding"", ""For Separator"", ""During Vessel""]",[],[],[],[],0,0.0198,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-7C89BA42,2021-12-26,Refinery Delta,Storage Tank A,Incident,The entry log for Separator V-10 during Vessel Welding was smudged with dirt.,Vessel Welding,"[""Hot Work""]","[""Separator V-10"", ""Vessel Welding"", ""For Separator"", ""During Vessel""]",[],[],[],[],0,0.0198,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-49D38536,2021-07-24,Refinery Delta,Loading Bay,Unsafe Act,"Noticed Pump P-204 had a minor weep during Maintenance. LOTO was applied correctly, but cleanup was delayed.",Maintenance,"[""Maintenance""]","[""Pump P-204"", ""Noticed Pump""]",[],[],[],[],0,0.0611,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-E2E977FE,2020-04-30,Facility Bravo,Storage Tank A,Unsafe Act,The Pickup Truck P-12 was slightly dirty during Transporting Personnel.,Transporting Personnel,"[""Vehicle Movement""]","[""Truck P-12"", ""Pickup Truck""]",[],[],[],[],0,0.0298,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-2274A077,2020-05-04,Station Foxtrot,Drilling Floor,Unsafe Act,Operator of Overhead Gantry during Rigging forgot his safety glasses but was in an enclosed cab.,Rigging,"[""Mechanical Lifting""]","[""Rigging"", ""Gantry""]",[],[],[],[],0,0.3283,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-3E058AC7,2023-05-02,Site Alpha,Deck 3,Incident,"Crew commenced Non-routine Task at Workshop but PTW not issued. Unaware of SIMOPS, they were exposed to Unidentified hazards.",Non-routine Task,"[""Operations""]","[""Workshop""]","[""Unidentified Hazards""]","[""WORK_AUTHORIZATION_FAILURE""]","[""expired-permit""]",[],1,0.8858,"[""Work Authorization""]",Work Authorization,1,Work Authorization,Work Authorization|Work at Height,Unidentified hazards,PTW not issued,Serious injury due to lack of hazard awareness,poor communication|inadequate planning,Medium
REP-0DDD3EC0,2021-10-09,Site Alpha,Pump Room,Incident,Radio in Crew Bus was left on high volume after Site Patrol.,Site Patrol,"[""Vehicle Movement""]","[""Crew Bus""]",[],[],[],[],0,0.0615,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-52C302DD,2020-11-19,Refinery Delta,Pipe Rack 2,Near Miss,Worker's chin strap on helmet was loose during Scaffolding on Cherry Picker.,Scaffolding,"[""Working at Height""]","[""Cherry Picker""]",[],[],[],[],0,0.1106,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-4DCCDEA8,2021-07-31,Terminal Echo,Loading Bay,Near Miss,Radio in Light Vehicle was left on high volume after Transporting Personnel.,Transporting Personnel,"[""Vehicle Movement""]","[""Light Vehicle""]",[],[],[],[],0,0.093,"[""Driving"", ""Confined Space""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-C8B6DD31,2021-06-20,Facility Bravo,Control Room,Incident,"During Rigging using Overhead Gantry, the load began to swing wildly. Overloaded crane caused a loss of control, resulting in Dropped suspended load.",Rigging,"[""Mechanical Lifting"", ""Loading/Unloading""]","[""Crane Caused"", ""Overloaded Crane"", ""Rigging"", ""Gantry""]","[""Vehicle Interaction"", ""Suspended Load""]","[""LIFTING_CONTROL_FAILURE""]","[""suspended-load"", ""vehicle-interaction""]","[""Struck-By Injury"", ""Crushing Injury"", ""Vehicle / Pedestrian Injury""]",1,0.9781,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,1,Safe Mechanical Lifting,Safe Mechanical Lifting,Dropped suspended load,Overloaded crane,Multiple serious injuries,blind lift|suspended load,Medium
REP-10798DA3,2020-03-22,Platform Charlie,Loading Bay,Unsafe Condition,Worker's chin strap on helmet was loose during Scaffolding on Crane C-1.,Scaffolding,"[""Mechanical Lifting"", ""Working at Height""]","[""Crane C-1"", ""On Crane""]",[],[],[],[],0,0.0885,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-4283E1EA,2022-04-23,Station Foxtrot,Loading Bay,Near Miss,Fire extinguisher near Angle Grinder for Soldering was due for monthly inspection next week.,Soldering,"[""Hot Work"", ""Maintenance""]","[""Angle Grinder""]",[],[],[],[],0,0.0927,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-7F766981,2020-02-18,Station Foxtrot,Loading Bay,Incident,"During Roof Repair, a 5kg wrench was dropped from Scaffold Tower B. Scaffold tag missing meant the area below was not clear. Open grating was a near miss.",Roof Repair,"[""Working at Height"", ""Maintenance""]","[""Scaffold"", ""Grating""]","[""Fall from Height""]","[""FALL_PROTECTION_FAILURE""]","[""fall-protection""]","[""Fatal Fall"", ""Fall Injury""]",1,0.5628,"[""Work at Height""]",Work at Height,1,Work at Height,Work at Height,Open grating,Scaffold tag missing,Fatality from fall,open hole|missing fall protection,Medium
REP-C51C9A80,2021-06-27,Site Alpha,Deck 3,Incident,Worker's chin strap on helmet was loose during Structural Inspection on Pipe Rack Level 3.,Structural Inspection,"[""Maintenance""]","[""Pipe Rack""]",[],[],[],[],0,0.1042,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-E6E306BD,2023-10-05,Facility Bravo,Drilling Floor,Incident,Fire extinguisher near Welding Machine W-1 for Soldering was due for monthly inspection next week.,Soldering,"[""Hot Work"", ""Maintenance""]","[""Welding Machine""]",[],[],[],[],0,0.0897,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work|Work Authorization,,,Minor injury,,Low
REP-9F6BFDC0,2023-09-23,Refinery Delta,Boiler Area,Near Miss,"During Torch Cutting with Welding Machine W-1, Gas test expired allowed slag to ignite a small fire. Severe burns potential was extremely high.",Torch Cutting,"[""Hot Work""]","[""Welding Machine"", ""Torch""]","[""Fire/Explosion""]","[""GAS_TEST_FAILURE""]","[""gas-test-failure""]","[""Explosion Injury"", ""Fire Injury"", ""Serious Burns"", ""Major Process Safety Event""]",1,0.9139,"[""Hot Work""]",Hot Work,1,Hot Work,Hot Work,Severe burns,Gas test expired,Fatal burns,hydrocarbon presence|sparks,Medium
REP-57AB943F,2020-12-13,Station Foxtrot,Deck 3,Near Miss,"The tag for Electrical Panel EP-5 was faded during Repair. No Electrical shock was present, but tag needs replacement.",Repair,"[""Maintenance""]","[""Panel Ep-5"", ""Electrical Panel""]","[""Electrical Energy""]",[],[],"[""Electrical Injury""]",0,0.1738,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-7C4A1487,2020-05-29,Refinery Delta,Storage Tank A,Unsafe Condition,The welding lead for Angle Grinder was slightly tangled during Welding.,Welding,"[""Hot Work""]","[""Angle Grinder""]",[],[],[],[],0,0.1661,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-3C55B0A9,2023-11-26,Terminal Echo,Control Room,Unsafe Act,Indicator bulb on Shutdown Valve SDV-1 was burnt out during System Maintenance.,System Maintenance,"[""Maintenance""]","[""Valve Sdv-1"", ""System Maintenance"", ""Shutdown Valve"", ""During System""]",[],[],[],[],0,0.0795,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,0,Bypassing Safety Controls,Bypassing Safety Controls,,,Minor injury,,Low
REP-FD0511C5,2020-11-21,Station Foxtrot,Control Room,Incident,"During Roof Repair, worker used the correct harness but the inspection log was not filled in for Crane C-1.",Roof Repair,"[""Mechanical Lifting"", ""Working at Height"", ""Maintenance""]","[""Crane C-1"", ""For Crane""]",[],[],[],[],0,0.0709,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-F2344921,2023-01-11,Site Alpha,Boiler Area,Unsafe Condition,"Worker doing Vessel Welding in Underground Sump complained about poor lighting, though gas levels were normal.",Vessel Welding,"[""Hot Work""]","[""Vessel Welding"", ""Doing Vessel"", ""Sump""]",[],[],[],[],0,0.107,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-8838F41A,2023-11-25,Site Alpha,Storage Tank A,Incident,"While conducting Pressure Testing with Winch W-2, an IP stepped into the danger zone. Tension line snapped resulted in the worker being in the Line of Fire for Caught between objects.",Pressure Testing,"[""Pressure Testing""]","[""Winch W-2"", ""With Winch""]","[""Line-of-Fire Exposure""]","[""LINE_OF_FIRE_CONTROL_FAILURE""]","[""line-of-fire""]",[],1,0.9627,"[""Line of Fire"", ""Hot Work""]",Line of Fire,1,Line of Fire,Line of Fire,Caught between objects,Tension line snapped,Fatal impact,pinch point|tensioned line,High
REP-CB903FAC,2020-12-04,Refinery Delta,Boiler Area,Unsafe Act,"Torch Cutting was started on Pipe Spool P-10 near a live process area. Fire watcher absent was observed, posing a massive risk of Toxic fumes.",Torch Cutting,"[""Chemical Handling"", ""Hot Work""]","[""Spool P-10"", ""Pipe Spool"", ""Torch""]","[""Fire/Explosion"", ""Toxic Gas""]","[""COMMUNICATION_FAILURE""]","[""communication-failure""]","[""Fire Injury"", ""Explosion Injury"", ""Toxic Exposure"", ""Major Process Safety Event""]",1,0.8789,"[""Hot Work"", ""Bypassing Safety Controls""]",Hot Work,1,Hot Work,Hot Work,Toxic fumes,Fire watcher absent,Facility explosion,hydrocarbon presence|flammable atmosphere,High
REP-00FA1FA0,2022-02-15,Platform Charlie,Storage Tank A,Near Miss,"While preparing for Maintenance on Valve V-99, found that the lock for LOTO was slightly rusted, making it hard to use.",Maintenance,"[""Maintenance""]","[""Valve V-99"", ""On Valve""]",[],[],[],[],0,0.0594,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation|Work Authorization,,,Minor injury,,Low
REP-40830B53,2020-02-11,Terminal Echo,Boiler Area,Unsafe Condition,Permit for General Maintenance at Process Module 4 had a minor spelling mistake in the supervisor's name.,General Maintenance,"[""Maintenance""]","[""Process Module""]",[],[],[],[],0,0.0829,"[""Work Authorization""]",Work Authorization,0,Work Authorization,Work Authorization,,,Minor injury,,Low
REP-69EF932D,2020-02-22,Platform Charlie,Storage Tank A,Incident,Worker observed performing Rigging on Crane C-1 at 15 meters. It was noted that No barricade below. A Open grating could have resulted in a fatality.,Rigging,"[""Mechanical Lifting""]","[""Crane C-1"", ""On Crane"", ""Rigging"", ""Grating""]","[""Fall from Height""]","[""BARRICADING_FAILURE""]","[""missing-barricade""]","[""Fatal Fall"", ""Fall Injury"", ""Fatal Exposure""]",1,0.9808,"[""Work at Height"", ""Line of Fire""]",Work at Height,1,Work at Height,Work at Height,Open grating,No barricade below,Serious head injury from dropped object,edge proximity|working aloft,Medium
REP-76B64B7D,2022-05-27,Station Foxtrot,Drilling Floor,Unsafe Act,The entry log for Separator V-10 during Tank Cleaning was smudged with dirt.,Tank Cleaning,"[""Cleaning"", ""Confined Space Entry""]","[""Separator V-10"", ""Tank Cleaning"", ""For Separator"", ""During Tank""]",[],[],[],[],0,0.0139,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-7EA68700,2022-12-04,Station Foxtrot,Main Workshop,Incident,Welder doing Welding with Pipe Spool P-10 had untucked coveralls.,Welding,"[""Hot Work""]","[""Spool P-10"", ""Pipe Spool""]",[],[],[],[],0,0.017,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-F53F9D36,2021-11-19,Site Alpha,Control Room,Near Miss,Operator of Forklift F-3 during Hoisting forgot his safety glasses but was in an enclosed cab.,Hoisting,"[""Mechanical Lifting""]","[""Forklift""]",[],[],[],[],0,0.1779,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-0792A514,2021-05-09,Station Foxtrot,Storage Tank A,Incident,"Prior to Internal Inspection in Underground Sump, it was discovered that Ventilation failed. This could have led to Engulfment and potential fatality.",Internal Inspection,"[""Maintenance""]","[""Sump""]","[""Confined Atmosphere""]",[],[],"[""Fatal Exposure""]",1,0.9599,"[""Confined Space"", ""Bypassing Safety Controls""]",Confined Space,1,Confined Space,Confined Space,Engulfment,Ventilation failed,Loss of consciousness,poor ventilation|deep excavation,Medium
REP-A663912C,2023-04-06,Platform Charlie,Control Room,Near Miss,The entry log for Reactor R-5 during Vessel Welding was smudged with dirt.,Vessel Welding,"[""Hot Work""]","[""Reactor R-5"", ""Vessel Welding"", ""For Reactor"", ""During Vessel""]",[],[],[],[],0,0.0168,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space|Safe Mechanical Lifting,,,Minor injury,,Low
REP-446479EC,2023-01-02,Station Foxtrot,Boiler Area,Unsafe Condition,The Crew Bus was slightly dirty during Site Patrol.,Site Patrol,"[""Vehicle Movement""]","[""Crew Bus""]",[],[],[],[],0,0.0257,"[""Driving"", ""Work Authorization""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-B6E94887,2020-04-03,Site Alpha,Pipe Rack 2,Near Miss,"Crew commenced Contractor Work at Utility Area but JSA not discussed. Unaware of SIMOPS, they were exposed to Unidentified hazards.",Contractor Work,"[""Contractor Work""]","[""Utility Area""]","[""Unidentified Hazards""]","[""WORK_AUTHORIZATION_FAILURE""]","[""expired-permit""]",[],1,0.7777,"[""Work Authorization""]",Work Authorization,1,Work Authorization,Work Authorization,Unidentified hazards,JSA not discussed,Process incident,poor communication|inadequate planning,Medium
REP-2F247C3A,2021-06-01,Refinery Delta,Deck 3,Unsafe Act,"Worker performing Grinding on Winch W-2 had their hands slightly close to a rough edge, causing a minor scratch.",Grinding,"[""Hot Work""]","[""Winch W-2"", ""On Winch""]",[],[],[],[],0,0.1595,"[""Line of Fire"", ""Hot Work""]",Line of Fire,0,Line of Fire,Line of Fire,,,Minor injury,,Low
REP-511462B9,2022-05-02,Terminal Echo,Loading Bay,Incident,Worker's chin strap on helmet was loose during Rigging on Scaffold Tower B.,Rigging,"[""Mechanical Lifting"", ""Working at Height""]","[""Scaffold"", ""Rigging""]",[],[],[],[],0,0.1425,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-D5DCD942,2020-06-15,Facility Bravo,Loading Bay,Unsafe Condition,Permit for Contractor Work at Camp Facility had a minor spelling mistake in the supervisor's name.,Contractor Work,"[""Contractor Work""]","[""Camp Facility""]",[],[],[],[],0,0.0753,"[""Work Authorization""]",Work Authorization,0,Work Authorization,Work Authorization,,,Minor injury,,Low
REP-7F102092,2022-07-18,Site Alpha,Loading Bay,Near Miss,Barricade tape for Lifting near High Pressure Hose was blown down by the wind. No operations were ongoing.,Lifting,"[""Mechanical Lifting""]","[""Pressure Hose""]",[],[],[],[],0,0.3272,"[""Line of Fire""]",Line of Fire,0,Line of Fire,Line of Fire,,,Minor injury,,Low
REP-25C0DDC4,2023-05-03,Station Foxtrot,Main Workshop,Incident,The entry log for Storage Tank A during Internal Inspection was smudged with dirt.,Internal Inspection,"[""Maintenance""]","[""Tank A"", ""Storage Tank""]",[],[],[],[],0,0.0115,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-220580CE,2021-04-13,Station Foxtrot,Pump Room,Near Miss,"Rigging was taking place with Overhead Gantry. It was found that No tag lines used, which is a severe violation that could result in Rigging failure.",Rigging,"[""Mechanical Lifting""]","[""Rigging"", ""Gantry""]","[""Suspended Load""]","[""LIFTING_CONTROL_FAILURE""]","[""suspended-load""]","[""Struck-By Injury"", ""Crushing Injury""]",1,0.8945,"[""Safe Mechanical Lifting"", ""Work at Height""]",Safe Mechanical Lifting,1,Safe Mechanical Lifting,Safe Mechanical Lifting,Rigging failure,No tag lines used,Crush fatality,dynamic loading|blind lift,Medium
REP-1F2766FC,2022-04-16,Platform Charlie,Drilling Floor,Unsafe Act,"Worker performing Grinding on Drill Pipe had their hands slightly close to a rough edge, causing a minor scratch.",Grinding,"[""Hot Work"", ""Drilling""]","[""Drill Pipe""]",[],[],[],[],0,0.0954,"[""Line of Fire""]",Line of Fire,0,Line of Fire,Line of Fire,,,Minor injury,,Low
REP-886DF4C5,2022-04-07,Terminal Echo,Pump Room,Incident,The welding lead for Pipe Spool P-10 was slightly tangled during Soldering.,Soldering,"[""Hot Work""]","[""Spool P-10"", ""Pipe Spool""]",[],[],[],[],0,0.0783,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work|Work at Height,,,Minor injury,,Low
REP-B2F54B6A,2022-09-19,Site Alpha,Pump Room,Unsafe Condition,"Worker doing Vessel Welding in Underground Sump complained about poor lighting, though gas levels were normal.",Vessel Welding,"[""Hot Work""]","[""Vessel Welding"", ""Doing Vessel"", ""Sump""]",[],[],[],[],0,0.107,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-1C8487E9,2021-08-20,Terminal Echo,Main Workshop,Incident,The horn on Chain Block sounded a bit quiet during Crane Lifting.,Crane Lifting,"[""Mechanical Lifting""]","[""Block Sounded"", ""Crane Lifting"", ""Chain Block"", ""During Crane""]",[],[],[],[],0,0.0335,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-51E17039,2022-04-29,Platform Charlie,Pipe Rack 2,Near Miss,JSA for General Maintenance near Camp Facility was printed on crumpled paper.,General Maintenance,"[""Maintenance""]","[""Camp Facility""]",[],[],[],[],0,0.0188,"[""Work Authorization""]",Work Authorization,0,Work Authorization,Work Authorization,,,Minor injury,,Low
REP-DFABBC5C,2021-10-21,Facility Bravo,Loading Bay,Incident,Operator of Chain Block during Hoisting forgot his safety glasses but was in an enclosed cab.,Hoisting,"[""Mechanical Lifting""]","[""Block During"", ""Chain Block""]",[],[],[],[],0,0.2702,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-7797630B,2022-06-20,Site Alpha,Pipe Rack 2,Incident,"While investigating Fire & Gas Panel, it was found that Override left active during Process Operation. This exposed the facility to Equipment destruction.",Process Operation,"[""Operations""]","[""Gas Panel""]",[],"[""SAFETY_DEVICE_BYPASS""]","[""bypassed-interlock""]","[""Major Equipment Damage""]",1,0.9034,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,1,Bypassing Safety Controls,Bypassing Safety Controls,Equipment destruction,Override left active,Catastrophic release,bypassed interlock|unauthorized override,High
REP-8ACBEEAE,2023-07-07,Station Foxtrot,Control Room,Unsafe Act,"During Grinding, Hydraulic Torque Wrench failed unexpectedly. Because Tension line snapped, the worker was exposed to Struck by moving object. Fortunately, the worker jumped back in time.",Grinding,"[""Hot Work"", ""Torquing""]","[""Torque Wrench""]","[""Line-of-Fire Exposure""]","[""LINE_OF_FIRE_CONTROL_FAILURE""]","[""line-of-fire""]","[""Struck-By Injury""]",1,0.9804,"[""Line of Fire""]",Line of Fire,1,Line of Fire,Line of Fire,Struck by moving object,Tension line snapped,Fatal impact,pinch point|tensioned line,High
REP-506DBB3F,2020-02-29,Site Alpha,Drilling Floor,Unsafe Act,The entry log for Underground Sump during Vessel Welding was smudged with dirt.,Vessel Welding,"[""Hot Work""]","[""Vessel Welding"", ""During Vessel"", ""Sump""]",[],[],[],[],0,0.0204,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-A05EBFBA,2022-02-22,Terminal Echo,Loading Bay,Incident,Welder doing Soldering with Angle Grinder had untucked coveralls.,Soldering,"[""Hot Work""]","[""Angle Grinder""]",[],[],[],[],0,0.0248,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-6728B97F,2020-05-31,Refinery Delta,Drilling Floor,Near Miss,Barricade tape for Pressure Testing near High Pressure Hose was blown down by the wind. No operations were ongoing.,Pressure Testing,"[""Pressure Testing""]","[""Pressure Hose""]",[],[],[],[],0,0.284,"[""Line of Fire""]",Line of Fire,0,Line of Fire,Line of Fire,,,Minor injury,,Low
REP-12614673,2022-01-05,Terminal Echo,Main Workshop,Near Miss,Indicator bulb on Fire & Gas Panel was burnt out during Alarm Testing.,Alarm Testing,"[""Operations""]","[""Panel Was"", ""Gas Panel""]",[],[],[],[],0,0.2182,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,0,Bypassing Safety Controls,Bypassing Safety Controls,,,Minor injury,,Low
REP-0DAECB08,2021-05-28,Station Foxtrot,Boiler Area,Unsafe Act,Operator engaged in System Maintenance admitted to bypassing safety logic on DCS System. Override left active is a severe breach leading to Process safety event.,System Maintenance,"[""Maintenance""]","[""System Maintenance"", ""In System"", ""Dcs System""]",[],"[""SAFETY_DEVICE_BYPASS""]","[""bypassed-interlock""]","[""Major Process Safety Event""]",1,0.8764,"[""Bypassing Safety Controls"", ""Safe Mechanical Lifting""]",Bypassing Safety Controls,1,Bypassing Safety Controls,Bypassing Safety Controls,Process safety event,Override left active,Catastrophic release,bypassed interlock|ignored alarm,Medium
REP-0BE42ACD,2020-12-25,Facility Bravo,Boiler Area,Near Miss,"While preparing for Repair on Valve V-99, found that the lock for LOTO was slightly rusted, making it hard to use.",Repair,"[""Maintenance""]","[""Valve V-99"", ""On Valve""]",[],[],[],[],0,0.0729,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-517F7F7F,2021-04-07,Station Foxtrot,Storage Tank A,Near Miss,The horn on Overhead Gantry sounded a bit quiet during Forklift Operation.,Forklift Operation,"[""Mechanical Lifting""]","[""Forklift"", ""Gantry""]",[],[],[],[],0,0.0418,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
