report_id,date,site,location,report_type,description,sif_prediction,sif_probability,primary_lsr,predicted_activity,predicted_equipment,predicted_hazards,predicted_barrier_failures,predicted_potential_consequences,predicted_precursor_tags,predicted_lsr
REP-AE67FAD1,2021-09-02,Site Alpha,Deck 3,Near Miss,Paint on Mobile Crane used for Forklift Operation is peeling off.,0,0.0301,Safe Mechanical Lifting,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Forklift Operation"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Painting"", ""evidence"": ""Paint"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Crane used"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Forklift"", ""evidence"": ""Forklift"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Safe Mechanical Lifting"", ""score"": 0.9655269712974649}]"
REP-540C393B,2022-10-10,Terminal Echo,Boiler Area,Incident,Operator of Overhead Gantry during Hoisting forgot his safety glasses but was in an enclosed cab.,1,0.3569,Safe Mechanical Lifting,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Hoisting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Gantry"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Safe Mechanical Lifting"", ""score"": 0.9485032014923228}]"
REP-C0773F61,2020-02-22,Site Alpha,Loading Bay,Near Miss,Indicator bulb on Fire & Gas Panel was burnt out during Alarm Testing.,0,0.2182,Bypassing Safety Controls,"[{""value"": ""Operations"", ""evidence"": ""Alarm Testing"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Electrical Panel"", ""evidence"": ""Panel was"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9623871388521316}]"
REP-4AE9942D,2022-10-21,Refinery Delta,Pump Room,Near Miss,Welder doing Soldering with Welding Machine W-1 had untucked coveralls.,0,0.0229,Hot Work,"[{""value"": ""Hot Work"", ""evidence"": ""Welder"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Welding Machine"", ""evidence"": ""Welding Machine"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Hot Work"", ""score"": 0.9572216750819136}]"
REP-3C01336D,2022-11-12,Site Alpha,Loading Bay,Near Miss,The horn on Mobile Crane sounded a bit quiet during Hoisting.,0,0.0627,Safe Mechanical Lifting,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Hoisting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Crane sounded"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Safe Mechanical Lifting"", ""score"": 0.9794328885610151}]"
REP-81F01673,2021-11-16,Facility Bravo,Pump Room,Near Miss,JSA for Non-routine Task near Workshop was printed on crumpled paper.,0,0.03,Work Authorization,"[{""value"": ""Operations"", ""evidence"": ""Non-routine Task"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Facility"", ""evidence"": ""Workshop"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work Authorization"", ""score"": 0.8804007655392799}]"
REP-53D109ED,2022-01-18,Facility Bravo,Pipe Rack 2,Near Miss,"While inspecting Compressor C-10, Electrical shock was narrowly avoided because LOTO not applied.",1,0.5819,Energy Isolation,"[{""value"": ""Maintenance"", ""evidence"": ""inspecting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Compressor"", ""evidence"": ""Compressor C-10"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Electrical Energy"", ""evidence"": ""Electrical"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""ENERGY_ISOLATION_FAILURE"", ""evidence"": ""LOTO not applied"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Electrical Injury"", ""evidence"": ""shock"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[""missing-loto""]","[{""rule"": ""Energy Isolation"", ""score"": 0.8045074282868947}, {""rule"": ""Line of Fire"", ""score"": 0.5324592424869293}]"
REP-6728B97F,2020-05-31,Refinery Delta,Drilling Floor,Near Miss,Barricade tape for Pressure Testing near High Pressure Hose was blown down by the wind. No operations were ongoing.,0,0.284,Line of Fire,"[{""value"": ""Pressure Testing"", ""evidence"": ""Pressure Testing"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Hose"", ""evidence"": ""Pressure Hose"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.954285724607735}]"
REP-FF5D9BBA,2022-07-27,Facility Bravo,Storage Tank A,Near Miss,The entry log for Reactor R-5 during Internal Inspection was smudged with dirt.,0,0.0283,Confined Space,"[{""value"": ""Maintenance"", ""evidence"": ""Inspection"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Reactor R-5"", ""evidence"": ""Reactor R-5"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""For Reactor"", ""evidence"": ""for Reactor"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Confined Space"", ""score"": 0.9747016592922796}]"
REP-2BA27C48,2023-06-18,Platform Charlie,Main Workshop,Unsafe Act,Worker's chin strap on helmet was loose during Roof Repair on Roof Access Ladder.,0,0.0464,Work at Height,"[{""value"": ""Maintenance"", ""evidence"": ""Repair"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Working at Height"", ""evidence"": ""Roof"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""Ladder"", ""evidence"": ""Ladder"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work at Height"", ""score"": 0.9724840159847183}]"
REP-A8751ACC,2023-10-07,Refinery Delta,Storage Tank A,Near Miss,Worker doing Contractor Work at Workshop did not sign the permit exactly on the line.,0,0.0704,Work Authorization,"[{""value"": ""Contractor Work"", ""evidence"": ""Contractor Work"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Facility"", ""evidence"": ""Workshop"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work Authorization"", ""score"": 0.9754613440116715}, {""rule"": ""Line of Fire"", ""score"": 0.45539571787768585}]"
REP-A039F087,2020-06-22,Station Foxtrot,Deck 3,Near Miss,"Screen on Fire & Gas Panel was dirty, making it hard to read during System Maintenance.",0,0.0442,Bypassing Safety Controls,"[{""value"": ""Maintenance"", ""evidence"": ""Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Electrical Panel"", ""evidence"": ""Panel was"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""System Maintenance"", ""evidence"": ""System Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""During System"", ""evidence"": ""during System"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9595643165922458}]"
REP-44DE5D5F,2022-03-01,Platform Charlie,Loading Bay,Near Miss,The entry log for Underground Sump during Vessel Welding was smudged with dirt.,0,0.0204,Confined Space,"[{""value"": ""Hot Work"", ""evidence"": ""Welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Vessel"", ""evidence"": ""Vessel Welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Confined Space"", ""score"": 0.9789310024375147}]"
REP-80537940,2022-05-10,Platform Charlie,Control Room,Unsafe Act,Worker entered Reactor R-5 for Vessel Welding. Suddenly the alarm sounded. Ventilation failed meant the worker was exposed to Oxygen deficiency.,1,0.9132,Confined Space,"[{""value"": ""Hot Work"", ""evidence"": ""Welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Confined Space Entry"", ""evidence"": ""entered Reactor R-5 for Vessel"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Reactor R-5"", ""evidence"": ""Reactor R-5"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Vessel"", ""evidence"": ""Vessel Welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Entered Reactor"", ""evidence"": ""entered Reactor"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Confined Atmosphere"", ""evidence"": ""Oxygen deficiency"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],"[{""rule"": ""Confined Space"", ""score"": 0.9533452314577474}, {""rule"": ""Energy Isolation"", ""score"": 0.3708908330568884}]"
REP-2117CCE8,2022-02-23,Platform Charlie,Main Workshop,Incident,Tools used for Tank Cleaning in Separator V-10 were left outside the entrance untidily.,0,0.0343,Confined Space,"[{""value"": ""Confined Space Entry"", ""evidence"": ""Tank Cleaning"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Cleaning"", ""evidence"": ""Cleaning"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Tank"", ""evidence"": ""Tank Cleaning"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Separator V-10"", ""evidence"": ""Separator V-10"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""In Separator"", ""evidence"": ""in Separator"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Confined Space"", ""score"": 0.9759963613212138}]"
REP-7E06DAB5,2023-03-11,Station Foxtrot,Storage Tank A,Incident,"The tag for Valve V-99 was faded during Maintenance. No Pressurized hydrocarbon release was present, but tag needs replacement.",0,0.116,Energy Isolation,"[{""value"": ""Maintenance"", ""evidence"": ""Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Valve"", ""evidence"": ""Valve V-99"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Loss of Containment"", ""evidence"": ""release"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[{""value"": ""Major Process Safety Event"", ""evidence"": ""release"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]",[],"[{""rule"": ""Energy Isolation"", ""score"": 0.974416912625264}]"
REP-76BE71E1,2023-07-01,Station Foxtrot,Main Workshop,Unsafe Act,Barricade tape for Pressure Testing near Winch W-2 was blown down by the wind. No operations were ongoing.,0,0.2407,Line of Fire,"[{""value"": ""Pressure Testing"", ""evidence"": ""Pressure Testing"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Winch W-2"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.9694209079912927}]"
REP-2B0F225A,2021-03-09,Site Alpha,Boiler Area,Incident,"Worker performing Grinding on High Pressure Hose had their hands slightly close to a rough edge, causing a minor scratch.",0,0.2248,Line of Fire,"[{""value"": ""Hot Work"", ""evidence"": ""Grinding"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""Hose"", ""evidence"": ""Pressure Hose"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.959767237928009}, {""rule"": ""Hot Work"", ""score"": 0.3767770972119181}]"
REP-E6D805CD,2020-01-08,Platform Charlie,Main Workshop,Near Miss,Operator logged Alarm Testing for Fire & Gas Panel in the wrong logbook.,0,0.1625,Bypassing Safety Controls,"[{""value"": ""Operations"", ""evidence"": ""Alarm Testing"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Electrical Panel"", ""evidence"": ""Panel in"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9682972827816406}]"
REP-F34038EA,2023-06-15,Platform Charlie,Deck 3,Unsafe Condition,Critical Non-routine Task on Utility Area proceeded despite JSA not discussed. This breakdown in authorization risked Unidentified hazards.,1,0.9689,Work Authorization,"[{""value"": ""Operations"", ""evidence"": ""Non-routine Task"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Facility"", ""evidence"": ""Utility Area"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Unidentified Hazards"", ""evidence"": ""Unidentified hazards"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""WORK_AUTHORIZATION_FAILURE"", ""evidence"": ""JSA not discussed"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[""expired-permit""]","[{""rule"": ""Work Authorization"", ""score"": 0.8828358047307964}, {""rule"": ""Bypassing Safety Controls"", ""score"": 0.682554853861488}]"
REP-153E7E92,2021-04-27,Terminal Echo,Boiler Area,Incident,"Scaffolding tubes for Pipe Rack Level 3 were stored untidily, causing a minor trip hazard during Rigging.",0,0.1589,Work at Height,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Rigging"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}, {""value"": ""Working at Height"", ""evidence"": ""Scaffolding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Structure"", ""evidence"": ""Pipe Rack"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Rigging"", ""evidence"": ""Rigging"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work at Height"", ""score"": 0.9629528872688576}, {""rule"": ""Safe Mechanical Lifting"", ""score"": 0.36185388670356666}]"
REP-850D1805,2022-10-02,Facility Bravo,Storage Tank A,Unsafe Act,"During Trenching, Excavator failed unexpectedly. Because Safety pin removed, the worker was exposed to Caught between objects. Fortunately, the worker jumped back in time.",1,0.9873,Line of Fire,"[{""value"": ""Excavation"", ""evidence"": ""Trenching"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Excavator"", ""evidence"": ""Excavator"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Line-of-Fire Exposure"", ""evidence"": ""Caught between objects"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],"[""line-of-fire""]","[{""rule"": ""Line of Fire"", ""score"": 0.919091686234592}, {""rule"": ""Confined Space"", ""score"": 0.4085462232972187}]"
REP-CB903FAC,2020-12-04,Refinery Delta,Boiler Area,Unsafe Act,"Torch Cutting was started on Pipe Spool P-10 near a live process area. Fire watcher absent was observed, posing a massive risk of Toxic fumes.",1,0.8789,Hot Work,"[{""value"": ""Hot Work"", ""evidence"": ""Torch Cutting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Chemical Handling"", ""evidence"": ""Toxic"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""Pipeline"", ""evidence"": ""Spool P-10"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Torch"", ""evidence"": ""Torch"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Fire/Explosion"", ""evidence"": ""Fire"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}, {""value"": ""Toxic Gas"", ""evidence"": ""Toxic fumes"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""COMMUNICATION_FAILURE"", ""evidence"": ""Fire watcher absent"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Toxic Exposure"", ""evidence"": ""fumes"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Fire Injury"", ""evidence"": ""Fire"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}, {""value"": ""Explosion Injury"", ""evidence"": ""Fire"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}, {""value"": ""Major Process Safety Event"", ""evidence"": ""Fire"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]","[""communication-failure""]","[{""rule"": ""Hot Work"", ""score"": 0.9089724956198298}, {""rule"": ""Bypassing Safety Controls"", ""score"": 0.44826090472216507}]"
REP-5317B929,2023-11-17,Station Foxtrot,Deck 3,Incident,"Screen on DCS System was dirty, making it hard to read during Process Operation.",0,0.089,Bypassing Safety Controls,"[{""value"": ""Operations"", ""evidence"": ""Process Operation"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""System Was"", ""evidence"": ""System was"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Electrical Panel"", ""evidence"": ""DCS System"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9667464106386008}]"
REP-8F7F9C01,2021-04-18,Site Alpha,Boiler Area,Incident,"The tag for Electrical Panel EP-5 was faded during Repair. No Electrical shock was present, but tag needs replacement.",0,0.1738,Energy Isolation,"[{""value"": ""Maintenance"", ""evidence"": ""Repair"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Electrical Panel"", ""evidence"": ""Panel EP-5"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Electrical Energy"", ""evidence"": ""Electrical"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[{""value"": ""Electrical Injury"", ""evidence"": ""shock"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[{""rule"": ""Energy Isolation"", ""score"": 0.9247000848175245}]"
REP-FC1CF22F,2023-06-09,Platform Charlie,Control Room,Unsafe Condition,The horn on Forklift F-3 sounded a bit quiet during Crane Lifting.,0,0.0127,Safe Mechanical Lifting,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Lifting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Crane Lifting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Forklift"", ""evidence"": ""Forklift"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Safe Mechanical Lifting"", ""score"": 0.9815301231814074}]"
REP-CA5EE77A,2020-09-15,Site Alpha,Loading Bay,Unsafe Act,Worker doing Non-routine Task at Utility Area did not sign the permit exactly on the line.,0,0.1094,Work Authorization,"[{""value"": ""Operations"", ""evidence"": ""Non-routine Task"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Facility"", ""evidence"": ""Utility Area"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work Authorization"", ""score"": 0.9879468319841963}]"
REP-D1BC389E,2021-01-17,Terminal Echo,Deck 3,Unsafe Condition,"Screen on Shutdown Valve SDV-1 was dirty, making it hard to read during Alarm Testing.",0,0.1287,Bypassing Safety Controls,"[{""value"": ""Operations"", ""evidence"": ""Alarm Testing"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Valve"", ""evidence"": ""Valve SDV-1"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9761670627082443}]"
