report_id,date,site,location,report_type,activity,description,sif_label,sif_potential,primary_lsr,lsr_tags,hazard,barrier_failure,equipment,potential_consequence,actual_consequence,precursor_tags,severity
REP-E2E977FE,2020-04-30,Facility Bravo,Storage Tank A,Unsafe Act,Transporting Personnel,The Pickup Truck P-12 was slightly dirty during Transporting Personnel.,0,0.35,Driving,Driving,None,None,Pickup Truck P-12,Minor injury,None,,Low
REP-2274A077,2020-05-04,Station Foxtrot,Drilling Floor,Unsafe Act,Rigging,Operator of Overhead Gantry during Rigging forgot his safety glasses but was in an enclosed cab.,0,0.3,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Overhead Gantry,Minor injury,None,,Low
REP-3E058AC7,2023-05-02,Site Alpha,Deck 3,Incident,Non-routine Task,"Crew commenced Non-routine Task at Workshop but PTW not issued. Unaware of SIMOPS, they were exposed to Unidentified hazards.",1,0.97,Work Authorization,Work Authorization|Work at Height,Unidentified hazards,PTW not issued,Workshop,Serious injury due to lack of hazard awareness,Property Damage,poor communication|inadequate planning,Medium
REP-0DDD3EC0,2021-10-09,Site Alpha,Pump Room,Incident,Site Patrol,Radio in Crew Bus was left on high volume after Site Patrol.,0,0.13,Driving,Driving,None,None,Crew Bus,Minor injury,None,,Low
REP-52C302DD,2020-11-19,Refinery Delta,Pipe Rack 2,Near Miss,Scaffolding,Worker's chin strap on helmet was loose during Scaffolding on Cherry Picker.,0,0.15,Work at Height,Work at Height,None,None,Cherry Picker,Minor injury,None,,Low
REP-4DCCDEA8,2021-07-31,Terminal Echo,Loading Bay,Near Miss,Transporting Personnel,Radio in Light Vehicle was left on high volume after Transporting Personnel.,0,0.07,Driving,Driving,None,None,Light Vehicle,Minor injury,None,,Low
REP-C8B6DD31,2021-06-20,Facility Bravo,Control Room,Incident,Rigging,"During Rigging using Overhead Gantry, the load began to swing wildly. Overloaded crane caused a loss of control, resulting in Dropped suspended load.",1,0.8,Safe Mechanical Lifting,Safe Mechanical Lifting,Dropped suspended load,Overloaded crane,Overhead Gantry,Multiple serious injuries,Property Damage,blind lift|suspended load,Medium
REP-10798DA3,2020-03-22,Platform Charlie,Loading Bay,Unsafe Condition,Scaffolding,Worker's chin strap on helmet was loose during Scaffolding on Crane C-1.,0,0.13,Work at Height,Work at Height,None,None,Crane C-1,Minor injury,None,,Low
REP-4283E1EA,2022-04-23,Station Foxtrot,Loading Bay,Near Miss,Soldering,Fire extinguisher near Angle Grinder for Soldering was due for monthly inspection next week.,0,0.37,Hot Work,Hot Work,None,None,Angle Grinder,Minor injury,None,,Low
REP-7F766981,2020-02-18,Station Foxtrot,Loading Bay,Incident,Roof Repair,"During Roof Repair, a 5kg wrench was dropped from Scaffold Tower B. Scaffold tag missing meant the area below was not clear. Open grating was a near miss.",1,0.94,Work at Height,Work at Height,Open grating,Scaffold tag missing,Scaffold Tower B,Fatality from fall,None,open hole|missing fall protection,Medium
REP-C51C9A80,2021-06-27,Site Alpha,Deck 3,Incident,Structural Inspection,Worker's chin strap on helmet was loose during Structural Inspection on Pipe Rack Level 3.,0,0.24,Work at Height,Work at Height,None,None,Pipe Rack Level 3,Minor injury,None,,Low
REP-E6E306BD,2023-10-05,Facility Bravo,Drilling Floor,Incident,Soldering,Fire extinguisher near Welding Machine W-1 for Soldering was due for monthly inspection next week.,0,0.28,Hot Work,Hot Work|Work Authorization,None,None,Welding Machine W-1,Minor injury,None,,Low
REP-9F6BFDC0,2023-09-23,Refinery Delta,Boiler Area,Near Miss,Torch Cutting,"During Torch Cutting with Welding Machine W-1, Gas test expired allowed slag to ignite a small fire. Severe burns potential was extremely high.",1,0.86,Hot Work,Hot Work,Severe burns,Gas test expired,Welding Machine W-1,Fatal burns,First Aid,hydrocarbon presence|sparks,Medium
REP-57AB943F,2020-12-13,Station Foxtrot,Deck 3,Near Miss,Repair,"The tag for Electrical Panel EP-5 was faded during Repair. No Electrical shock was present, but tag needs replacement.",0,0.19,Energy Isolation,Energy Isolation,None,None,Electrical Panel EP-5,Minor injury,None,,Low
REP-7C4A1487,2020-05-29,Refinery Delta,Storage Tank A,Unsafe Condition,Welding,The welding lead for Angle Grinder was slightly tangled during Welding.,0,0.25,Hot Work,Hot Work,None,None,Angle Grinder,Minor injury,None,,Low
REP-3C55B0A9,2023-11-26,Terminal Echo,Control Room,Unsafe Act,System Maintenance,Indicator bulb on Shutdown Valve SDV-1 was burnt out during System Maintenance.,0,0.08,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Shutdown Valve SDV-1,Minor injury,None,,Low
REP-FD0511C5,2020-11-21,Station Foxtrot,Control Room,Incident,Roof Repair,"During Roof Repair, worker used the correct harness but the inspection log was not filled in for Crane C-1.",0,0.18,Work at Height,Work at Height,None,None,Crane C-1,Minor injury,None,,Low
REP-F2344921,2023-01-11,Site Alpha,Boiler Area,Unsafe Condition,Vessel Welding,"Worker doing Vessel Welding in Underground Sump complained about poor lighting, though gas levels were normal.",0,0.14,Confined Space,Confined Space,None,None,Underground Sump,Minor injury,None,,Low
REP-8838F41A,2023-11-25,Site Alpha,Storage Tank A,Incident,Pressure Testing,"While conducting Pressure Testing with Winch W-2, an IP stepped into the danger zone. Tension line snapped resulted in the worker being in the Line of Fire for Caught between objects.",1,0.94,Line of Fire,Line of Fire,Caught between objects,Tension line snapped,Winch W-2,Fatal impact,Property Damage,pinch point|tensioned line,High
REP-CB903FAC,2020-12-04,Refinery Delta,Boiler Area,Unsafe Act,Torch Cutting,"Torch Cutting was started on Pipe Spool P-10 near a live process area. Fire watcher absent was observed, posing a massive risk of Toxic fumes.",1,0.81,Hot Work,Hot Work,Toxic fumes,Fire watcher absent,Pipe Spool P-10,Facility explosion,Property Damage,hydrocarbon presence|flammable atmosphere,High
REP-00FA1FA0,2022-02-15,Platform Charlie,Storage Tank A,Near Miss,Maintenance,"While preparing for Maintenance on Valve V-99, found that the lock for LOTO was slightly rusted, making it hard to use.",0,0.14,Energy Isolation,Energy Isolation|Work Authorization,None,None,Valve V-99,Minor injury,None,,Low
REP-40830B53,2020-02-11,Terminal Echo,Boiler Area,Unsafe Condition,General Maintenance,Permit for General Maintenance at Process Module 4 had a minor spelling mistake in the supervisor's name.,0,0.09,Work Authorization,Work Authorization,None,None,Process Module 4,Minor injury,None,,Low
REP-69EF932D,2020-02-22,Platform Charlie,Storage Tank A,Incident,Rigging,Worker observed performing Rigging on Crane C-1 at 15 meters. It was noted that No barricade below. A Open grating could have resulted in a fatality.,1,0.98,Work at Height,Work at Height,Open grating,No barricade below,Crane C-1,Serious head injury from dropped object,Property Damage,edge proximity|working aloft,Medium
REP-76B64B7D,2022-05-27,Station Foxtrot,Drilling Floor,Unsafe Act,Tank Cleaning,The entry log for Separator V-10 during Tank Cleaning was smudged with dirt.,0,0.15,Confined Space,Confined Space,None,None,Separator V-10,Minor injury,None,,Low
REP-7EA68700,2022-12-04,Station Foxtrot,Main Workshop,Incident,Welding,Welder doing Welding with Pipe Spool P-10 had untucked coveralls.,0,0.18,Hot Work,Hot Work,None,None,Pipe Spool P-10,Minor injury,None,,Low
REP-F53F9D36,2021-11-19,Site Alpha,Control Room,Near Miss,Hoisting,Operator of Forklift F-3 during Hoisting forgot his safety glasses but was in an enclosed cab.,0,0.27,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Forklift F-3,Minor injury,None,,Low
REP-0792A514,2021-05-09,Station Foxtrot,Storage Tank A,Incident,Internal Inspection,"Prior to Internal Inspection in Underground Sump, it was discovered that Ventilation failed. This could have led to Engulfment and potential fatality.",1,0.85,Confined Space,Confined Space,Engulfment,Ventilation failed,Underground Sump,Loss of consciousness,None,poor ventilation|deep excavation,Medium
REP-A663912C,2023-04-06,Platform Charlie,Control Room,Near Miss,Vessel Welding,The entry log for Reactor R-5 during Vessel Welding was smudged with dirt.,0,0.13,Confined Space,Confined Space|Safe Mechanical Lifting,None,None,Reactor R-5,Minor injury,None,,Low
REP-446479EC,2023-01-02,Station Foxtrot,Boiler Area,Unsafe Condition,Site Patrol,The Crew Bus was slightly dirty during Site Patrol.,0,0.13,Driving,Driving,None,None,Crew Bus,Minor injury,None,,Low
REP-B6E94887,2020-04-03,Site Alpha,Pipe Rack 2,Near Miss,Contractor Work,"Crew commenced Contractor Work at Utility Area but JSA not discussed. Unaware of SIMOPS, they were exposed to Unidentified hazards.",1,0.91,Work Authorization,Work Authorization,Unidentified hazards,JSA not discussed,Utility Area,Process incident,First Aid,poor communication|inadequate planning,Medium
REP-2F247C3A,2021-06-01,Refinery Delta,Deck 3,Unsafe Act,Grinding,"Worker performing Grinding on Winch W-2 had their hands slightly close to a rough edge, causing a minor scratch.",0,0.39,Line of Fire,Line of Fire,None,None,Winch W-2,Minor injury,None,,Low
REP-511462B9,2022-05-02,Terminal Echo,Loading Bay,Incident,Rigging,Worker's chin strap on helmet was loose during Rigging on Scaffold Tower B.,0,0.23,Work at Height,Work at Height,None,None,Scaffold Tower B,Minor injury,None,,Low
REP-D5DCD942,2020-06-15,Facility Bravo,Loading Bay,Unsafe Condition,Contractor Work,Permit for Contractor Work at Camp Facility had a minor spelling mistake in the supervisor's name.,0,0.11,Work Authorization,Work Authorization,None,None,Camp Facility,Minor injury,None,,Low
REP-7F102092,2022-07-18,Site Alpha,Loading Bay,Near Miss,Lifting,Barricade tape for Lifting near High Pressure Hose was blown down by the wind. No operations were ongoing.,0,0.12,Line of Fire,Line of Fire,None,None,High Pressure Hose,Minor injury,None,,Low
REP-25C0DDC4,2023-05-03,Station Foxtrot,Main Workshop,Incident,Internal Inspection,The entry log for Storage Tank A during Internal Inspection was smudged with dirt.,0,0.32,Confined Space,Confined Space,None,None,Storage Tank A,Minor injury,None,,Low
REP-220580CE,2021-04-13,Station Foxtrot,Pump Room,Near Miss,Rigging,"Rigging was taking place with Overhead Gantry. It was found that No tag lines used, which is a severe violation that could result in Rigging failure.",1,0.88,Safe Mechanical Lifting,Safe Mechanical Lifting,Rigging failure,No tag lines used,Overhead Gantry,Crush fatality,None,dynamic loading|blind lift,Medium
REP-1F2766FC,2022-04-16,Platform Charlie,Drilling Floor,Unsafe Act,Grinding,"Worker performing Grinding on Drill Pipe had their hands slightly close to a rough edge, causing a minor scratch.",0,0.19,Line of Fire,Line of Fire,None,None,Drill Pipe,Minor injury,None,,Low
REP-886DF4C5,2022-04-07,Terminal Echo,Pump Room,Incident,Soldering,The welding lead for Pipe Spool P-10 was slightly tangled during Soldering.,0,0.06,Hot Work,Hot Work|Work at Height,None,None,Pipe Spool P-10,Minor injury,None,,Low
REP-B2F54B6A,2022-09-19,Site Alpha,Pump Room,Unsafe Condition,Vessel Welding,"Worker doing Vessel Welding in Underground Sump complained about poor lighting, though gas levels were normal.",0,0.35,Confined Space,Confined Space,None,None,Underground Sump,Minor injury,None,,Low
REP-1C8487E9,2021-08-20,Terminal Echo,Main Workshop,Incident,Crane Lifting,The horn on Chain Block sounded a bit quiet during Crane Lifting.,0,0.2,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Chain Block,Minor injury,None,,Low
REP-51E17039,2022-04-29,Platform Charlie,Pipe Rack 2,Near Miss,General Maintenance,JSA for General Maintenance near Camp Facility was printed on crumpled paper.,0,0.31,Work Authorization,Work Authorization,None,None,Camp Facility,Minor injury,None,,Low
REP-DFABBC5C,2021-10-21,Facility Bravo,Loading Bay,Incident,Hoisting,Operator of Chain Block during Hoisting forgot his safety glasses but was in an enclosed cab.,0,0.16,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Chain Block,Minor injury,None,,Low
REP-7797630B,2022-06-20,Site Alpha,Pipe Rack 2,Incident,Process Operation,"While investigating Fire & Gas Panel, it was found that Override left active during Process Operation. This exposed the facility to Equipment destruction.",1,0.74,Bypassing Safety Controls,Bypassing Safety Controls,Equipment destruction,Override left active,Fire & Gas Panel,Catastrophic release,None,bypassed interlock|unauthorized override,High
REP-8ACBEEAE,2023-07-07,Station Foxtrot,Control Room,Unsafe Act,Grinding,"During Grinding, Hydraulic Torque Wrench failed unexpectedly. Because Tension line snapped, the worker was exposed to Struck by moving object. Fortunately, the worker jumped back in time.",1,0.95,Line of Fire,Line of Fire,Struck by moving object,Tension line snapped,Hydraulic Torque Wrench,Fatal impact,First Aid,pinch point|tensioned line,High
REP-506DBB3F,2020-02-29,Site Alpha,Drilling Floor,Unsafe Act,Vessel Welding,The entry log for Underground Sump during Vessel Welding was smudged with dirt.,0,0.28,Confined Space,Confined Space,None,None,Underground Sump,Minor injury,None,,Low
REP-A05EBFBA,2022-02-22,Terminal Echo,Loading Bay,Incident,Soldering,Welder doing Soldering with Angle Grinder had untucked coveralls.,0,0.04,Hot Work,Hot Work,None,None,Angle Grinder,Minor injury,None,,Low
REP-6728B97F,2020-05-31,Refinery Delta,Drilling Floor,Near Miss,Pressure Testing,Barricade tape for Pressure Testing near High Pressure Hose was blown down by the wind. No operations were ongoing.,0,0.22,Line of Fire,Line of Fire,None,None,High Pressure Hose,Minor injury,None,,Low
REP-12614673,2022-01-05,Terminal Echo,Main Workshop,Near Miss,Alarm Testing,Indicator bulb on Fire & Gas Panel was burnt out during Alarm Testing.,0,0.16,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Fire & Gas Panel,Minor injury,None,,Low
REP-0DAECB08,2021-05-28,Station Foxtrot,Boiler Area,Unsafe Act,System Maintenance,Operator engaged in System Maintenance admitted to bypassing safety logic on DCS System. Override left active is a severe breach leading to Process safety event.,1,0.76,Bypassing Safety Controls,Bypassing Safety Controls,Process safety event,Override left active,DCS System,Catastrophic release,Property Damage,bypassed interlock|ignored alarm,Medium
REP-0BE42ACD,2020-12-25,Facility Bravo,Boiler Area,Near Miss,Repair,"While preparing for Repair on Valve V-99, found that the lock for LOTO was slightly rusted, making it hard to use.",0,0.3,Energy Isolation,Energy Isolation,None,None,Valve V-99,Minor injury,None,,Low
REP-517F7F7F,2021-04-07,Station Foxtrot,Storage Tank A,Near Miss,Forklift Operation,The horn on Overhead Gantry sounded a bit quiet during Forklift Operation.,0,0.06,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Overhead Gantry,Minor injury,None,,Low
REP-05A50190,2023-10-14,Facility Bravo,Control Room,Unsafe Act,Process Operation,Operator engaged in Process Operation admitted to bypassing safety logic on Fire & Gas Panel. Override left active is a severe breach leading to Process safety event.,1,0.94,Bypassing Safety Controls,Bypassing Safety Controls,Process safety event,Override left active,Fire & Gas Panel,Catastrophic release,None,ignored alarm|unauthorized override,High
REP-CE6C4A0A,2020-04-02,Site Alpha,Main Workshop,Incident,Site Patrol,Driver doing Site Patrol in Light Vehicle parked slightly outside the designated lines.,0,0.06,Driving,Driving,None,None,Light Vehicle,Minor injury,None,,Low
REP-7ACB5E57,2020-07-21,Refinery Delta,Storage Tank A,Near Miss,Vessel Welding,"During Vessel Welding inside Separator V-10, Rescue plan inadequate was noted. This is a critical failure leading to high risk of Heat exhaustion.",1,0.91,Confined Space,Confined Space,Heat exhaustion,Rescue plan inadequate,Separator V-10,Fatality due to toxic gas,Property Damage,deep excavation|poor ventilation,High
REP-7487B026,2020-07-06,Station Foxtrot,Loading Bay,Unsafe Act,Grinding,"During Grinding with Pipe Spool P-10, Fire watcher absent allowed slag to ignite a small fire. Toxic fumes potential was extremely high.",1,0.78,Hot Work,Hot Work|Bypassing Safety Controls,Toxic fumes,Fire watcher absent,Pipe Spool P-10,Facility explosion,First Aid,sparks|ignition source,Medium
REP-131881B5,2020-10-23,Facility Bravo,Pipe Rack 2,Near Miss,Grinding,"During Grinding with Angle Grinder, Combustibles not cleared allowed slag to ignite a small fire. Explosion potential was extremely high.",1,0.92,Hot Work,Hot Work,Explosion,Combustibles not cleared,Angle Grinder,Fatal burns,First Aid,flammable atmosphere|ignition source,Medium
REP-8463F7A6,2022-05-12,Terminal Echo,Deck 3,Unsafe Act,Scaffolding,"Scaffolding tubes for Crane C-1 were stored untidily, causing a minor trip hazard during Scaffolding.",0,0.03,Work at Height,Work at Height,None,None,Crane C-1,Minor injury,None,,Low
REP-18D9FD6E,2020-05-04,Refinery Delta,Storage Tank A,Incident,Welding,Fire extinguisher near Pipe Spool P-10 for Welding was due for monthly inspection next week.,0,0.39,Hot Work,Hot Work,None,None,Pipe Spool P-10,Minor injury,None,,Low
REP-D6BC748E,2023-04-13,Terminal Echo,Drilling Floor,Incident,Non-routine Task,JSA for Non-routine Task near Camp Facility was printed on crumpled paper.,0,0.25,Work Authorization,Work Authorization,None,None,Camp Facility,Minor injury,None,,Low
REP-089F1463,2022-04-27,Platform Charlie,Control Room,Incident,Site Patrol,Driver doing Site Patrol in Forklift parked slightly outside the designated lines.,0,0.36,Driving,Driving,None,None,Forklift,Minor injury,None,,Low
REP-6B8739C9,2020-07-09,Refinery Delta,Deck 3,Near Miss,Structural Inspection,Worker's chin strap on helmet was loose during Structural Inspection on Roof Access Ladder.,0,0.33,Work at Height,Work at Height,None,None,Roof Access Ladder,Minor injury,None,,Low
REP-30EC9E9D,2023-05-14,Platform Charlie,Drilling Floor,Unsafe Act,Transporting Personnel,The Light Vehicle was slightly dirty during Transporting Personnel.,0,0.39,Driving,Driving,None,None,Light Vehicle,Minor injury,None,,Low
REP-B8A6E232,2022-05-28,Terminal Echo,Pipe Rack 2,Unsafe Act,Tank Cleaning,"Worker doing Tank Cleaning in Reactor R-5 complained about poor lighting, though gas levels were normal.",0,0.23,Confined Space,Confined Space,None,None,Reactor R-5,Minor injury,None,,Low
REP-10007C6F,2020-05-22,Facility Bravo,Pump Room,Unsafe Act,Crane Lifting,Operator of Forklift F-3 during Crane Lifting forgot his safety glasses but was in an enclosed cab.,0,0.27,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Forklift F-3,Minor injury,None,,Low
REP-1D287376,2020-04-17,Facility Bravo,Boiler Area,Unsafe Act,Internal Inspection,Tools used for Internal Inspection in Reactor R-5 were left outside the entrance untidily.,0,0.04,Confined Space,Confined Space,None,None,Reactor R-5,Minor injury,None,,Low
REP-DA13750C,2023-10-20,Station Foxtrot,Control Room,Near Miss,Rigging,Paint on Chain Block used for Rigging is peeling off.,0,0.05,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Chain Block,Minor injury,None,,Low
REP-3FBDF8F8,2022-05-31,Facility Bravo,Boiler Area,Incident,Alarm Testing,Operator engaged in Alarm Testing admitted to bypassing safety logic on DCS System. Alarm disabled is a severe breach leading to Process safety event.,1,0.8,Bypassing Safety Controls,Bypassing Safety Controls,Process safety event,Alarm disabled,DCS System,Catastrophic release,First Aid,bypassed interlock|unauthorized override,Medium
REP-8B5A801E,2023-03-20,Refinery Delta,Storage Tank A,Near Miss,Vessel Welding,"Worker doing Vessel Welding in Underground Sump complained about poor lighting, though gas levels were normal.",0,0.23,Confined Space,Confined Space|Energy Isolation,None,None,Underground Sump,Minor injury,None,,Low
REP-95B292D8,2021-09-27,Station Foxtrot,Drilling Floor,Unsafe Condition,Repair,"While inspecting Compressor C-10, H2S exposure was narrowly avoided because Padlock missing.",1,0.82,Energy Isolation,Energy Isolation|Line of Fire,H2S exposure,Padlock missing,Compressor C-10,Severe chemical burns,First Aid,inadequate isolation|live electrical,Medium
REP-5EF204E5,2023-08-14,Facility Bravo,Loading Bay,Unsafe Act,Lifting,Barricade tape for Lifting near Drill Pipe was blown down by the wind. No operations were ongoing.,0,0.38,Line of Fire,Line of Fire,None,None,Drill Pipe,Minor injury,None,,Low
REP-B8949EBB,2021-10-09,Facility Bravo,Control Room,Unsafe Act,Tank Cleaning,"During Tank Cleaning inside Separator V-10, Attendant absent was noted. This is a critical failure leading to high risk of Toxic atmosphere.",1,0.89,Confined Space,Confined Space,Toxic atmosphere,Attendant absent,Separator V-10,Loss of consciousness,Property Damage,deep excavation|poor ventilation,High
REP-2B7ED4A0,2020-06-06,Station Foxtrot,Deck 3,Incident,Hoisting,Paint on Mobile Crane used for Hoisting is peeling off.,0,0.33,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Mobile Crane,Minor injury,None,,Low
REP-5852EB77,2021-12-04,Station Foxtrot,Deck 3,Unsafe Condition,Transporting Personnel,Driver doing Transporting Personnel in Forklift parked slightly outside the designated lines.,0,0.05,Driving,Driving,None,None,Forklift,Minor injury,None,,Low
REP-8A4906EE,2021-11-06,Site Alpha,Pipe Rack 2,Incident,Contractor Work,Critical Contractor Work on Workshop proceeded despite Wrong permit type. This breakdown in authorization risked Simultaneous operations clash.,1,0.72,Work Authorization,Work Authorization,Simultaneous operations clash,Wrong permit type,Workshop,Process incident,None,simops|inadequate planning,High
REP-1C6C29A5,2020-06-22,Platform Charlie,Pipe Rack 2,Incident,Torquing,Barricade tape for Torquing near Winch W-2 was blown down by the wind. No operations were ongoing.,0,0.29,Line of Fire,Line of Fire,None,None,Winch W-2,Minor injury,None,,Low
REP-75FFF3A7,2022-09-22,Facility Bravo,Loading Bay,Unsafe Condition,Grinding,The welding lead for Welding Machine W-1 was slightly tangled during Grinding.,0,0.38,Hot Work,Hot Work,None,None,Welding Machine W-1,Minor injury,None,,Low
REP-BC463935,2022-06-15,Site Alpha,Storage Tank A,Near Miss,Crane Lifting,A heavy skid was being moved during Crane Lifting. Damaged slings used led to a near miss involving Swinging load near Mobile Crane.,1,0.92,Safe Mechanical Lifting,Safe Mechanical Lifting,Swinging load,Damaged slings used,Mobile Crane,Multiple serious injuries,Property Damage,heavy lifting|suspended load,Medium
REP-4497A44C,2023-03-14,Refinery Delta,Control Room,Near Miss,Internal Inspection,"Worker doing Internal Inspection in Underground Sump complained about poor lighting, though gas levels were normal.",0,0.27,Confined Space,Confined Space,None,None,Underground Sump,Minor injury,None,,Low
REP-BC0A2D63,2023-02-09,Site Alpha,Pipe Rack 2,Unsafe Act,Heavy Haulage,Driver doing Heavy Haulage in Vacuum Truck parked slightly outside the designated lines.,0,0.35,Driving,Driving,None,None,Vacuum Truck,Minor injury,None,,Low
REP-4785A6FA,2022-04-29,Site Alpha,Storage Tank A,Near Miss,Torquing,"During Torquing, a piece of non-tensioned wire from High Pressure Hose was left on the floor.",0,0.37,Line of Fire,Line of Fire,None,None,High Pressure Hose,Minor injury,None,,Low
REP-4E7D8FF4,2020-10-11,Station Foxtrot,Control Room,Incident,Structural Inspection,Worker observed performing Structural Inspection on Crane C-1 at 15 meters. It was noted that No barricade below. A Fall from height could have resulted in a fatality.,1,0.71,Work at Height,Work at Height,Fall from height,No barricade below,Crane C-1,Fatality from fall,Property Damage,missing fall protection|unsecured tools,High
REP-27D8172D,2021-05-01,Platform Charlie,Deck 3,Unsafe Act,Scaffolding,Worker's chin strap on helmet was loose during Scaffolding on Pipe Rack Level 3.,0,0.31,Work at Height,Work at Height,None,None,Pipe Rack Level 3,Minor injury,None,,Low
REP-50DD8922,2022-05-03,Facility Bravo,Deck 3,Near Miss,General Maintenance,"Crew commenced General Maintenance at Process Module 4 but PTW not issued. Unaware of SIMOPS, they were exposed to Simultaneous operations clash.",1,0.88,Work Authorization,Work Authorization,Simultaneous operations clash,PTW not issued,Process Module 4,Serious injury due to lack of hazard awareness,Property Damage,simops|poor communication,Medium
REP-828847FC,2021-05-08,Station Foxtrot,Deck 3,Near Miss,Transporting Personnel,"A safety camera caught Forklift engaged in Transporting Personnel. The footage revealed Speeding, which is a precursor to Loss of control.",1,0.7,Driving,Driving,Loss of control,Speeding,Forklift,Crush injuries to pedestrian,First Aid,poor road conditions|distracted driving,Medium
REP-6A6FC483,2021-08-23,Facility Bravo,Pump Room,Unsafe Condition,Torch Cutting,"A contractor began Torch Cutting using Angle Grinder. A safety walk discovered Sparks falling to lower deck, immediately stopping work due to Toxic fumes risk.",1,0.93,Hot Work,Hot Work,Toxic fumes,Sparks falling to lower deck,Angle Grinder,Fatal burns,None,flammable atmosphere|ignition source,High
